,ratio,index,dataset,time [hrs],rmse,r2
1003,0.3,1.0,Sobol2,0.7110056126117706,193.0965481035767,-3.297553121192567
1004,0.3,2.0,Grid1296,0.20103717075453864,236.39440005699925,-4.479442284442277
1005,0.3,2.0,Grid2401,0.2897401694456736,349.4166007696989,-10.529899698222671
1006,0.3,2.0,Sobol1,2.2076133108801312,20.53737535651288,0.9527705204576858
1007,0.3,2.0,Sobol2,1.8516449624962277,24.249520835367264,0.933087645120354
1008,0.3,3.0,Grid1296,0.060105585720804,231.03403721150693,-4.269190207427212
1009,0.3,3.0,Grid2401,0.2749122165309058,289.1015008620604,-6.846828859243445
1010,0.3,3.0,Sobol1,0.5811208844184875,22.87701080825483,0.9421087168413513
1011,0.3,3.0,Sobol2,0.688014317618476,20.968570368002403,0.9490955762468981
1012,0.3,4.0,Grid1296,0.0914342815346188,216.0309738695191,-3.6107089892867874
1013,0.3,4.0,Grid2401,0.3552917487753762,423.58102912107563,-15.893189054285976
1014,0.3,4.0,Sobol1,1.2487046785487068,21.164383032402394,0.9503295484810504
1015,0.3,4.0,Sobol2,1.3900186432732475,19.832431135167223,0.954377918986565
1016,0.3,5.0,Grid1296,0.057433841625849406,203.95999543643154,-3.0804230479829044
1017,0.3,5.0,Grid2401,0.38289822041988375,448.1027070205135,-17.825124963954764
1018,0.3,5.0,Sobol1,0.4798091395696004,21.929553833080345,0.9472786933010499
1019,0.3,5.0,Sobol2,0.6894805037975311,24.460695595329767,0.9318867646803894
1020,0.3,6.0,Grid1296,0.062077857587072585,239.48505687203286,-4.627516241061912
1021,0.3,6.0,Grid2401,0.4268877698977788,418.8937893216435,-15.563033108950972
1022,0.3,6.0,Sobol1,0.40126997590065,21.318956248471913,0.9497224925639848
1023,0.3,6.0,Sobol2,0.492529350121816,26.18392455898643,0.9218073853250391
1024,0.3,7.0,Grid1296,0.07653861727979448,228.28177731508794,-4.120813960034892
1025,0.3,7.0,Grid2401,0.4738368286026849,378.22610756728295,-12.540511409140338
1026,0.3,7.0,Sobol1,1.483200373450915,20.759703588474395,0.9523189622779739
1027,0.3,7.0,Sobol2,1.2814226706160439,30.626223008870987,0.8958079505944121
1028,0.3,8.0,Grid1296,0.05597004108958774,213.03686376571315,-3.466648056590042
1029,0.3,8.0,Grid2401,0.2922403563393487,388.5666916722718,-13.210930585999787
1030,0.3,8.0,Sobol1,1.2547339646021525,21.452101498366584,0.9479650957150346
1031,0.3,8.0,Sobol2,1.1471507689025666,20.163464140732625,0.9530240078553015
1032,0.3,9.0,Grid1296,0.1615060900317298,221.50032090251224,-3.7957777236273733
1033,0.3,9.0,Grid2401,0.39536946409278445,392.2751533021589,-13.417289227552937
1034,0.3,9.0,Sobol1,2.310809569954872,21.23433986190026,0.9508937892054892
1035,0.3,9.0,Sobol2,2.2767854150798588,25.338746032410405,0.9258831801381864
1036,0.3,10.0,Grid1296,0.07942010223865509,214.41262091584804,-3.5604458493358813
1037,0.3,10.0,Grid2401,0.2204465314414766,431.16816792719834,-16.51605463295082
1038,0.3,10.0,Sobol1,0.720930011206203,21.152744715218535,0.9498345327918951
1039,0.3,10.0,Sobol2,0.7003332065211402,26.554873148321267,0.9189870554749999
1040,0.3,11.0,Grid1296,0.08496131870481703,221.73802366102655,-3.8410590484756533
1041,0.3,11.0,Grid2401,0.38977582461304133,375.7820536317587,-12.292410240542658
1042,0.3,11.0,Sobol1,1.3849999386734433,20.44456732673339,0.9530192525774462
1043,0.3,11.0,Sobol2,1.2222917669349247,23.127029933140577,0.9395504706597447
