,ratio,rndint,dataset,degree,rmse,r2
29042,0.75,829.0,Sobol1,1.0,73.68791283634773,0.4177787707164662
29043,0.75,829.0,Sobol2,1.0,73.69235792515009,0.42520171179534094
29044,0.75,829.0,Grid1296,2.0,44.11443473903773,0.8018627319223524
29045,0.75,829.0,Grid2401,2.0,79.4867273774256,0.36301761914946606
29046,0.75,829.0,Sobol1,2.0,39.303649443708586,0.8343615030596803
29047,0.75,829.0,Sobol2,2.0,38.604167094834224,0.8422610542098838
29048,0.75,829.0,Grid1296,3.0,25.444637357884012,0.9340830256976109
29049,0.75,829.0,Grid2401,3.0,77.1077507683947,0.40057582192167096
29050,0.75,829.0,Sobol1,3.0,25.311836170878774,0.9313022002850513
29051,0.75,829.0,Sobol2,3.0,34.28688520451518,0.8755695627504458
29052,0.75,829.0,Grid1296,4.0,46.70280774431085,0.7779295795352894
29053,0.75,829.0,Grid2401,4.0,45.00473308130742,0.7958005504118638
29054,0.75,829.0,Sobol1,4.0,25.361306652901945,0.931033406323275
29055,0.75,829.0,Sobol2,4.0,32.7208912645889,0.8866762832880027
29056,0.75,829.0,Grid1296,5.0,74.92842301402979,0.4283925010521461
29057,0.75,829.0,Grid2401,5.0,88.08163161757614,0.21781607144351622
29058,0.75,829.0,Sobol1,5.0,19.75998579245235,0.9581332950592766
29059,0.75,829.0,Sobol2,5.0,23.793263050033968,0.9400790662261905
29060,0.75,829.0,Grid1296,6.0,3236288694.0312166,-1066348703290015.1
29061,0.75,829.0,Grid2401,6.0,409.3117496288438,-15.89065960589582
29062,0.75,829.0,Sobol1,6.0,22.035668345773498,0.9479347473377553
29063,0.75,829.0,Sobol2,6.0,28.84968790538059,0.9119046877668884
29064,0.75,829.0,Grid1296,7.0,264.7080749355535,-6.1340986833435585
29065,0.75,829.0,Grid2401,7.0,1184.8549169517855,-140.53652767542437
29066,0.75,829.0,Sobol1,7.0,50.10122482533026,0.7308513460893816
29067,0.75,829.0,Sobol2,7.0,24.302843264169812,0.9374849284598921
29068,0.75,829.0,Grid1296,8.0,301.3579482549334,-8.246343723937882
