,ratio,rndint,dataset,degree,prediction,target,diff
142,0.05,237.0,Sobol1,6,718.5885665552294,707.0,-11.588566555229363
143,0.05,237.0,Sobol2,6,731.5397782645798,707.0,-24.53977826457981
144,0.05,237.0,Grid1296,7,-14388500.5625,707.0,14389207.5625
145,0.05,237.0,Grid2401,7,2969034.9831638336,707.0,-2968327.9831638336
146,0.05,237.0,Sobol1,7,718.4890987734095,707.0,-11.489098773409523
147,0.05,237.0,Sobol2,7,725.8914603820795,707.0,-18.891460382079458
148,0.05,237.0,Grid1296,8,-27208494.90625,707.0,27209201.90625
149,0.05,237.0,Grid2401,8,5288719.175455093,707.0,-5288012.175455093
150,0.05,237.0,Sobol1,8,714.59375,707.0,-7.59375
151,0.05,237.0,Sobol2,8,722.4742632310736,707.0,-15.474263231073564
152,0.05,237.0,Grid1296,9,-4969505659.03125,707.0,4969506366.03125
153,0.05,237.0,Grid2401,9,4294014.247293234,707.0,-4293307.247293234
154,0.05,237.0,Sobol1,9,717.846640586853,707.0,-10.846640586853027
155,0.05,237.0,Sobol2,9,713.8342195004225,707.0,-6.834219500422478
156,0.05,237.0,Grid1296,10,-30528641.28125,707.0,30529348.28125
157,0.05,237.0,Grid2401,10,-235576269.74538422,707.0,235576976.74538422
158,0.05,237.0,Sobol1,10,717.9296875,707.0,-10.9296875
159,0.05,237.0,Sobol2,10,700.4031099937856,707.0,6.59689000621438
160,0.05,588.0,Grid1296,1,739.072699121263,707.0,-32.072699121262985
161,0.05,588.0,Grid2401,1,777.579527677105,707.0,-70.57952767710503
162,0.05,588.0,Sobol1,1,678.9075816607905,707.0,28.09241833920953
163,0.05,588.0,Sobol2,1,665.7674230597831,707.0,41.23257694021686
164,0.05,588.0,Grid1296,2,750.9041072844583,707.0,-43.90410728445829
165,0.05,588.0,Grid2401,2,776.2083934047306,707.0,-69.2083934047306
166,0.05,588.0,Sobol1,2,707.6807586309181,707.0,-0.6807586309181488
167,0.05,588.0,Sobol2,2,702.7674805821218,707.0,4.232519417878166
168,0.05,588.0,Grid1296,3,716.75,707.0,-9.75
169,0.05,588.0,Grid2401,3,746.3970892076009,707.0,-39.39708920760086
170,0.05,588.0,Sobol1,3,734.6841572510705,707.0,-27.684157251070474
171,0.05,588.0,Sobol2,3,734.2839233063155,707.0,-27.2839233063155
172,0.05,588.0,Grid1296,4,708.75,707.0,-1.75
173,0.05,588.0,Grid2401,4,717.3262525746921,707.0,-10.326252574692148
174,0.05,588.0,Sobol1,4,729.9021518816863,707.0,-22.902151881686336
175,0.05,588.0,Sobol2,4,723.2403974102805,707.0,-16.24039741028048
176,0.05,588.0,Grid1296,5,697.31640625,707.0,9.68359375
177,0.05,588.0,Grid2401,5,709.0907622427,707.0,-2.0907622426999524
178,0.05,588.0,Sobol1,5,717.6973208312734,707.0,-10.697320831273373
179,0.05,588.0,Sobol2,5,724.6498178267851,707.0,-17.649817826785124
180,0.05,588.0,Grid1296,6,6608451.28125,707.0,-6607744.28125
181,0.05,588.0,Grid2401,6,726.912562116982,707.0,-19.91256211698203
182,0.05,588.0,Sobol1,6,719.3029118384852,707.0,-12.302911838485215
183,0.05,588.0,Sobol2,6,730.4279096257168,707.0,-23.42790962571678
184,0.05,588.0,Grid1296,7,-1881909.73828125,707.0,1882616.73828125
185,0.05,588.0,Grid2401,7,188465.27106577158,707.0,-187758.27106577158
186,0.05,588.0,Sobol1,7,719.0708254867473,707.0,-12.070825486747253
187,0.05,588.0,Sobol2,7,724.6608142018404,707.0,-17.660814201840367
188,0.05,588.0,Grid1296,8,1484784.2465820312,707.0,-1484077.2465820312
189,0.05,588.0,Grid2401,8,1140275.3304891586,707.0,-1139568.3304891586
190,0.05,588.0,Sobol1,8,715.5697286257055,707.0,-8.569728625705466
191,0.05,588.0,Sobol2,8,721.7116037795204,707.0,-14.711603779520374
192,0.05,588.0,Grid1296,9,-15822468326.957031,707.0,15822469033.957031
193,0.05,588.0,Grid2401,9,1657596.1914434433,707.0,-1656889.1914434433
194,0.05,588.0,Sobol1,9,717.0635179877281,707.0,-10.063517987728119
195,0.05,588.0,Sobol2,9,711.5538807446137,707.0,-4.553880744613707
196,0.05,588.0,Grid1296,10,-63397899.65625,707.0,63398606.65625
197,0.05,588.0,Grid2401,10,-127964979.72476959,707.0,127965686.72476959
198,0.05,588.0,Sobol1,10,718.6356242746115,707.0,-11.635624274611473
199,0.05,588.0,Sobol2,10,703.2706805504858,707.0,3.7293194495141506
200,0.05,951.0,Grid1296,1,739.5507764481484,707.0,-32.55077644814844
201,0.05,951.0,Grid2401,1,777.0841650407807,707.0,-70.0841650407807
202,0.05,951.0,Sobol1,1,678.7763165035022,707.0,28.223683496497756
203,0.05,951.0,Sobol2,1,667.8306918505024,707.0,39.169308149497624
204,0.05,951.0,Grid1296,2,749.2333754938794,707.0,-42.23337549387941
205,0.05,951.0,Grid2401,2,775.5645408995197,707.0,-68.56454089951967
206,0.05,951.0,Sobol1,2,706.732432007708,707.0,0.26756799229201533
207,0.05,951.0,Sobol2,2,703.2072350557977,707.0,3.792764944202304
208,0.05,951.0,Grid1296,3,724.2353270810825,707.0,-17.23532708108246
209,0.05,951.0,Grid2401,3,745.4465171442507,707.0,-38.44651714425072
210,0.05,951.0,Sobol1,3,734.3500282363943,707.0,-27.350028236394337
211,0.05,951.0,Sobol2,3,745.25,707.0,-38.25
212,0.05,951.0,Grid1296,4,705.5336292874774,707.0,1.4663707125225756
213,0.05,951.0,Grid2401,4,717.875,707.0,-10.875
214,0.05,951.0,Sobol1,4,729.6403832138427,707.0,-22.64038321384271
215,0.05,951.0,Sobol2,4,725.7392120611141,707.0,-18.73921206111413
216,0.05,951.0,Grid1296,5,696.8748355304807,707.0,10.12516446951929
217,0.05,951.0,Grid2401,5,708.3125,707.0,-1.3125
218,0.05,951.0,Sobol1,5,718.2497738953072,707.0,-11.249773895307158
219,0.05,951.0,Sobol2,5,725.4054867591743,707.0,-18.405486759174323
220,0.05,951.0,Grid1296,6,3404843.9964723587,707.0,-3404136.9964723587
221,0.05,951.0,Grid2401,6,728.68994140625,707.0,-21.68994140625
222,0.05,951.0,Sobol1,6,719.7079857273635,707.0,-12.707985727363507
223,0.05,951.0,Sobol2,6,729.786256585656,707.0,-22.78625658565602
224,0.05,951.0,Grid1296,7,-1306577.4886465073,707.0,1307284.4886465073
225,0.05,951.0,Grid2401,7,612359.25,707.0,-611652.25
226,0.05,951.0,Sobol1,7,719.0792477163955,707.0,-12.079247716395457
227,0.05,951.0,Sobol2,7,724.3369140625,707.0,-17.3369140625
228,0.05,951.0,Grid1296,8,-7139762.739222527,707.0,7140469.739222527
229,0.05,951.0,Grid2401,8,-2494179.542468071,707.0,2494886.542468071
