,ratio,rndint,dataset,degree,rmse,r2,prediction,target,diff
15216,0.4,390.0,Grid1296,5.0,69.20600945238662,0.5259003210612878,701.9375,707.0,5.0625
15217,0.4,390.0,Grid2401,5.0,126.15693640589588,-0.526459138652446,711.3563667985546,707.0,-4.356366798554632
15218,0.4,390.0,Sobol1,5.0,20.705367226369457,0.9531926889766656,721.625,707.0,-14.625
15219,0.4,390.0,Sobol2,5.0,18.833758830506948,0.9604569074079878,718.5879158526755,707.0,-11.58791585267545
15220,0.4,390.0,Grid1296,6.0,94265491.59552345,-879604655285.1929,-5745753.53125,707.0,5746460.53125
15221,0.4,390.0,Grid2401,6.0,167.67590440728176,-1.6965236287049446,727.5357578623069,707.0,-20.535757862306923
15222,0.4,390.0,Sobol1,6.0,19.583892703136783,0.9581258639506768,719.688004237907,707.0,-12.688004237906966
15223,0.4,390.0,Sobol2,6.0,18.35315310766456,0.9624493034718842,722.7222072960549,707.0,-15.722207296054876
15224,0.4,390.0,Grid1296,7.0,1182166914.1193428,-138337411937507.62,-73814919.8125,707.0,73815626.8125
15225,0.4,390.0,Grid2401,7.0,23721365.95412045,-53968742912.836655,2083384.625,707.0,-2082677.625
15226,0.4,390.0,Sobol1,7.0,20.71049453022735,0.9531695041648264,719.4558758164658,707.0,-12.455875816465776
15227,0.4,390.0,Sobol2,7.0,18.632940719076483,0.9612956813657388,721.6716207488544,707.0,-14.671620748854366
15228,0.4,390.0,Grid1296,8.0,7960992762.600188,-6273595362854141.0,-426899912.671875,707.0,426900619.671875
15229,0.4,390.0,Grid2401,8.0,14281452.95189424,-19561749903.778294,1267623.375,707.0,-1266916.375
15230,0.4,390.0,Sobol1,8.0,21.53430890672917,0.9493697939360978,715.4403229188174,707.0,-8.440322918817401
15231,0.4,390.0,Sobol2,8.0,19.499082196642075,0.9576137532635324,723.1438693830023,707.0,-16.14386938300231
15232,0.4,390.0,Grid1296,9.0,735492003.9733448,-53547346791188.06,32438684.420936584,707.0,-32437977.420936584
15233,0.4,390.0,Grid2401,9.0,546550260.5644583,-28649901063986.6,41874203.375,707.0,-41873496.375
15234,0.4,390.0,Sobol1,9.0,30.598969386362025,0.8977739886409339,715.7204718589783,707.0,-8.720471858978271
15235,0.4,390.0,Sobol2,9.0,24.908916001938223,0.9308318311942974,725.7578819356859,707.0,-18.757881935685877
15236,0.4,390.0,Grid1296,10.0,185741077.0215101,-3415057062221.935,-8890773.463485718,707.0,8891480.463485718
15237,0.4,390.0,Grid2401,10.0,1130843141.6581333,-122650028123579.88,-79656439.05958557,707.0,79657146.05958557
15238,0.4,390.0,Sobol1,10.0,95.22270187367916,0.0100145360851722,717.8586820363998,707.0,-10.85868203639984
15239,0.4,390.0,Sobol2,10.0,231.42032416940205,-4.970347601578563,727.277326464653,707.0,-20.27732646465301
15240,0.4,930.0,Grid1296,1.0,76.3730183153765,0.4214797672551296,736.983019784414,707.0,-29.983019784413955
15241,0.4,930.0,Grid2401,1.0,96.31686142192484,0.1153003924857264,776.4349195193748,707.0,-69.43491951937483
15242,0.4,930.0,Sobol1,1.0,72.12086062097951,0.4203736557268485,673.3087098812351,707.0,33.69129011876487
15243,0.4,930.0,Sobol2,1.0,73.27246805598178,0.3962307527492844,664.1499974300253,707.0,42.85000256997466
15244,0.4,930.0,Grid1296,2.0,46.13074802007986,0.7889333404578996,753.3243134425358,707.0,-46.32431344253576
15245,0.4,930.0,Grid2401,2.0,77.74988728313807,0.4235113964034944,773.650797431719,707.0,-66.65079743171896
15246,0.4,930.0,Sobol1,2.0,39.10645881292142,0.8295789261131485,705.1723104447641,707.0,1.8276895552359065
15247,0.4,930.0,Sobol2,2.0,38.24285782060122,0.8355287375913616,702.382045485562,707.0,4.617954514437997
15248,0.4,930.0,Grid1296,3.0,25.38883646108893,0.9360671243012072,728.78125,707.0,-21.78125
15249,0.4,930.0,Grid2401,3.0,42.99079594957512,0.8237447094055464,740.825835429404,707.0,-33.82583542940404
15250,0.4,930.0,Sobol1,3.0,25.91930492097572,0.925136001907814,734.4666247052782,707.0,-27.46662470527815
15251,0.4,930.0,Sobol2,3.0,22.88540472686365,0.941101186959237,731.338653031769,707.0,-24.338653031769013
15252,0.4,930.0,Grid1296,4.0,47.57991462627791,0.7754640111861434,706.5325024401508,707.0,0.467497559849221
15253,0.4,930.0,Grid2401,4.0,41.3624450878345,0.8368437941631799,715.6172654076031,707.0,-8.6172654076031
15254,0.4,930.0,Sobol1,4.0,23.886089123964595,0.9364206019426176,727.9933007974466,707.0,-20.99330079744664
15255,0.4,930.0,Sobol2,4.0,21.8534535257278,0.9462931716786716,715.4512493771672,707.0,-8.451249377167187
15256,0.4,930.0,Grid1296,5.0,67.84163986337954,0.5435099483392327,697.1370093961298,707.0,9.86299060387023
15257,0.4,930.0,Grid2401,5.0,74.52581013903311,0.4703309439231864,713.0808326528086,707.0,-6.080832652808567
15258,0.4,930.0,Sobol1,5.0,19.435716720545475,0.9579052983202142,718.4696132079177,707.0,-11.469613207917746
15259,0.4,930.0,Sobol2,5.0,18.655814587391323,0.9608602739309576,721.0,707.0,-14.0
15260,0.4,930.0,Grid1296,6.0,77.20351233603202,0.408829491118705,700.0307924374451,707.0,6.969207562554857
15261,0.4,930.0,Grid2401,6.0,90.5894331713654,0.2173884111767197,710.96875,707.0,-3.96875
15262,0.4,930.0,Sobol1,6.0,20.302137513690088,0.9540685828454244,718.2415521591629,707.0,-11.241552159162891
15263,0.4,930.0,Sobol2,6.0,17.365557340759743,0.9660869538480982,727.3482681353014,707.0,-20.3482681353014
15264,0.4,930.0,Grid1296,7.0,288630626.924473,-8262728228314.788,-17240986.012028694,707.0,17241693.012028694
15265,0.4,930.0,Grid2401,7.0,11990456.329247693,-13710794241.84114,-1051885.125,707.0,1052592.125
15266,0.4,930.0,Sobol1,7.0,23.228401918140804,0.939873630837424,716.7222508519299,707.0,-9.722250851929855
15267,0.4,930.0,Sobol2,7.0,20.160230461087604,0.9542932509126484,723.4375,707.0,-16.4375
15268,0.4,930.0,Grid1296,8.0,2230345249.8289423,-493381469583023.25,122929015.96297836,707.0,-122928308.96297836
15269,0.4,930.0,Grid2401,8.0,30394564.724685133,-88101448076.50775,2645883.40625,707.0,-2645176.40625
15270,0.4,930.0,Sobol1,8.0,27.40378341293699,0.916315048678042,716.3272873878595,707.0,-9.327287387859542
15271,0.4,930.0,Sobol2,8.0,33.84472352797995,0.871183560902762,723.71875,707.0,-16.71875
15272,0.4,930.0,Grid1296,9.0,1036821222.4065272,-106621895553290.48,-46567811.42258072,707.0,46568518.42258072
15273,0.4,930.0,Grid2401,9.0,11718525.27350938,-13095953130.95128,907985.875,707.0,-907278.875
15274,0.4,930.0,Sobol1,9.0,33.57861094190901,0.8743531028437236,718.5276772975922,707.0,-11.527677297592165
15275,0.4,930.0,Sobol2,9.0,55.86300645051509,0.6490558898554547,716.0045549869537,707.0,-9.004554986953735
15276,0.4,930.0,Grid1296,10.0,299513661.5419936,-8897580294859.846,-7042758.16217041,707.0,7043465.16217041
15277,0.4,930.0,Grid2401,10.0,395179760.5246138,-14892944722457.48,-28987495.7779274,707.0,28988202.7779274
15278,0.4,930.0,Sobol1,10.0,83.95676974151459,0.2145152525316329,718.217529296875,707.0,-11.217529296875
15279,0.4,930.0,Sobol2,10.0,395.67707363795336,-16.606422617129294,644.979148209095,707.0,62.020851790905
15280,0.4,633.0,Grid1296,1.0,76.13728165164113,0.4244863031858101,735.3221458724581,707.0,-28.322145872458123
15281,0.4,633.0,Grid2401,1.0,96.50555229953385,0.1081415753806931,777.5967821805984,707.0,-70.59678218059844
15282,0.4,633.0,Sobol1,1.0,72.12919149477986,0.4174308230304276,677.511850025899,707.0,29.48814997410102
15283,0.4,633.0,Sobol2,1.0,72.36544727877883,0.4330919243030473,669.8497996828014,707.0,37.1502003171986
15284,0.4,633.0,Grid1296,2.0,45.943367717172926,0.7904408718988795,749.8871952374659,707.0,-42.8871952374659
15285,0.4,633.0,Grid2401,2.0,78.32438734930251,0.4125304904405638,776.0470185601795,707.0,-69.04701856017948
15286,0.4,633.0,Sobol1,2.0,39.17125697815808,0.828185271356249,708.1998684560973,707.0,-1.199868456097306
15287,0.4,633.0,Sobol2,2.0,38.40123272750573,0.8403604576484998,703.9546780003935,707.0,3.045321999606472
15288,0.4,633.0,Grid1296,3.0,26.0805797042821,0.9324702081993252,727.25,707.0,-20.25
15289,0.4,633.0,Grid2401,3.0,45.23292080797528,0.8040701606546843,753.0625,707.0,-46.0625
15290,0.4,633.0,Sobol1,3.0,25.38201538688728,0.9278597603537088,732.6658956062039,707.0,-25.66589560620389
