,ratio,rndint,dataset,rmse,mape,r2,prediction,target,diff
533,0.15,928.0,Grid2401,99.35238719735628,0.1150854047339071,0.091291556148637,776.5993019721111,707.0,-69.5993019721111
534,0.15,928.0,Sobol1,71.23822711867493,0.0925839642223816,0.4166782978721206,676.4005055206768,707.0,30.599494479323198
535,0.15,928.0,Sobol2,72.25813713932784,0.0942426940888347,0.3861240705099771,665.7406938663487,707.0,41.25930613365131
536,0.15,854.0,Grid1296,77.97859263253017,0.0949332263514294,0.4128250603201298,737.0623900500024,707.0,-30.062390050002364
537,0.15,854.0,Grid2401,100.20283669290208,0.1160549698541005,0.07332431659404,779.2866377355035,707.0,-72.28663773550352
538,0.15,854.0,Sobol1,72.2068836015387,0.0942371009015189,0.3969295871148839,678.260170619693,707.0,28.739829380307015
539,0.15,854.0,Sobol2,72.530213113844,0.0946106391929069,0.3861397655946089,662.4421967047778,707.0,44.55780329522224
540,0.15,554.0,Grid1296,77.67307225584696,0.0949740238788986,0.41269613818072,738.5472359340382,707.0,-31.547235934038213
541,0.15,554.0,Grid2401,100.20537803791274,0.1161097650487213,0.0726405730622841,779.1923352537771,707.0,-72.19233525377706
542,0.15,554.0,Sobol1,71.28653057408002,0.0930461803200875,0.4215884529935532,679.7039169094757,707.0,27.29608309052435
543,0.15,554.0,Sobol2,72.39366519157274,0.0945164951029718,0.3879816070935435,664.7264189345603,707.0,42.27358106543966
544,0.15,562.0,Grid1296,78.15328806083693,0.0952954737054429,0.4105792407238793,737.112060831878,707.0,-30.11206083187801
545,0.15,562.0,Grid2401,100.10353990011674,0.1159636195570215,0.0777679376886145,778.2409952992749,707.0,-71.24099529927491
546,0.15,562.0,Sobol1,71.51658251064399,0.0932138811488988,0.4218514412268194,677.9601542780148,707.0,29.039845721985216
547,0.15,562.0,Sobol2,72.26815962171985,0.0940512785693774,0.3828715977674516,662.8886485812559,707.0,44.11135141874411
548,0.15,78.0,Grid1296,79.13341540888275,0.0955613331922074,0.3946057043950974,743.0764375966637,707.0,-36.07643759666371
549,0.15,78.0,Grid2401,100.71311442908548,0.1168450405405421,0.0677285186609084,779.6246157500295,707.0,-72.62461575002953
550,0.15,78.0,Sobol1,71.49967045892039,0.0932999693232655,0.4107272448967285,676.7254788632742,707.0,30.274521136725753
551,0.15,78.0,Sobol2,71.86392629161311,0.0938013403823416,0.4049066532970024,669.2403522351765,707.0,37.75964776482351
552,0.15,222.0,Grid1296,77.63733968324532,0.0948837011606631,0.4136248879212966,737.8830941345295,707.0,-30.88309413452953
553,0.15,222.0,Grid2401,100.0067348452559,0.1160477333997424,0.0814394682996014,777.2524582607047,707.0,-70.25245826070466
554,0.15,222.0,Sobol1,71.20074703937875,0.0925059916679544,0.4139251465654258,679.0909352557583,707.0,27.909064744241732
555,0.15,222.0,Sobol2,72.13094338827861,0.093971484764361,0.3884468903859464,665.778950110674,707.0,41.22104988932597
556,0.15,294.0,Grid1296,78.31310923547817,0.0949452131963572,0.4062868419242407,738.9074906226153,707.0,-31.90749062261534
557,0.15,294.0,Grid2401,99.80028913304744,0.1156675915333891,0.0848382853143031,777.4871872873006,707.0,-70.48718728730057
558,0.15,294.0,Sobol1,71.31326447537681,0.0928965277091009,0.4118151903848748,675.4675052231455,707.0,31.53249477685449
559,0.15,294.0,Sobol2,72.10014169795609,0.0941162472463306,0.3947164965255931,666.6517907975459,707.0,40.348209202454086
560,0.15,725.0,Grid1296,77.71425862655074,0.0949659116203087,0.4121395314742671,739.5015947410394,707.0,-32.50159474103941
561,0.15,725.0,Grid2401,99.72204610769111,0.1156855361026581,0.0824988734724595,777.4950001644786,707.0,-70.4950001644786
562,0.15,725.0,Sobol1,71.45102060871402,0.0931183394810361,0.412945255969565,679.4882525259835,707.0,27.511747474016488
563,0.15,725.0,Sobol2,72.34916296265666,0.0944862085930759,0.3817006509155158,663.7506297170557,707.0,43.249370282944255
564,0.15,582.0,Grid1296,78.2689950531967,0.0952968721406071,0.4046062663506861,740.716282049274,707.0,-33.716282049274014
565,0.15,582.0,Grid2401,100.32796358429954,0.1161740447611656,0.0713757981157253,778.967944034314,707.0,-71.96794403431397
566,0.15,582.0,Sobol1,71.88710293079623,0.0939682896991357,0.4092435019561955,679.480807475619,707.0,27.51919252438097
567,0.15,582.0,Sobol2,72.37845560584793,0.0944245083067342,0.3854702019011585,668.5033374139402,707.0,38.496662586059756
568,0.15,731.0,Grid1296,77.76518654539738,0.0946193428790038,0.4119729736774744,737.5774059310174,707.0,-30.577405931017438
569,0.15,731.0,Grid2401,100.28550224373905,0.1162321468332715,0.0680881820669137,779.1945306462082,707.0,-72.19453064620825
570,0.15,731.0,Sobol1,71.91018891317114,0.0941858043412831,0.4105182703817628,679.6073216504202,707.0,27.392678349579796
571,0.15,731.0,Sobol2,73.19223352658668,0.0954932451340339,0.3665540622140724,661.2149185069101,707.0,45.78508149308993
572,0.15,249.0,Grid1296,78.2066985844308,0.0952214903873102,0.4084141303070865,738.7568350061608,707.0,-31.756835006160827
573,0.15,249.0,Grid2401,99.99906241198374,0.1159501772940043,0.0792732902295446,777.6760056817782,707.0,-70.67600568177818
574,0.15,249.0,Sobol1,71.71168449428421,0.0935010164799132,0.4084062051083597,679.7334550588438,707.0,27.266544941156212
575,0.15,249.0,Sobol2,72.17909414032498,0.0943191606869582,0.3955954470018866,666.1157828657805,707.0,40.88421713421951
576,0.15,791.0,Grid1296,78.04344691813763,0.0950699800578064,0.4088485258230768,738.98766876275,707.0,-31.98766876274999
577,0.15,791.0,Grid2401,100.03598844138892,0.1160161666226,0.0773055544656327,777.6888853996902,707.0,-70.68888539969021
578,0.15,791.0,Sobol1,71.51973341577927,0.0933199606783067,0.418736793442875,680.7715984979317,707.0,26.228401502068323
579,0.15,791.0,Sobol2,72.4054220858416,0.0943539591602327,0.3802769749631491,662.3491001092339,707.0,44.65089989076614
580,0.15,35.0,Grid1296,78.08907093526845,0.0957180453509664,0.4074977356663369,740.7992535694698,707.0,-33.79925356946978
