,ratio,rndint,dataset,prediction,target,diff
2056,0.55,75.0,Grid1296,746.2472483751383,707.0,-39.24724837513827
2057,0.55,75.0,Grid2401,777.5535425684463,707.0,-70.55354256844635
2058,0.55,75.0,Sobol1,679.678607177456,707.0,27.321392822544
2059,0.55,75.0,Sobol2,654.9419002765989,707.0,52.05809972340114
2060,0.55,16.0,Grid1296,740.6714210392362,707.0,-33.67142103923618
2061,0.55,16.0,Grid2401,778.6669761424432,707.0,-71.66697614244322
2062,0.55,16.0,Sobol1,677.2976703980078,707.0,29.702329601992233
2063,0.55,16.0,Sobol2,663.9703277345114,707.0,43.02967226548856
2064,0.55,669.0,Grid1296,732.8210645075762,707.0,-25.82106450757624
2065,0.55,669.0,Grid2401,776.1080605318865,707.0,-69.10806053188651
2066,0.55,669.0,Sobol1,680.3362124774092,707.0,26.663787522590837
2067,0.55,669.0,Sobol2,670.1328474528384,707.0,36.867152547161595
2068,0.55,530.0,Grid1296,738.4619189430695,707.0,-31.461918943069463
2069,0.55,530.0,Grid2401,780.2686467664936,707.0,-73.26864676649359
2070,0.55,530.0,Sobol1,683.680443153101,707.0,23.31955684689899
2071,0.55,530.0,Sobol2,655.9083788423608,707.0,51.091621157639224
2072,0.55,999.0,Grid1296,741.0719135642059,707.0,-34.07191356420594
2073,0.55,999.0,Grid2401,779.0702216436478,707.0,-72.07022164364776
2074,0.55,999.0,Sobol1,673.8102470053369,707.0,33.18975299466308
2075,0.55,999.0,Sobol2,659.8214469824209,707.0,47.178553017579134
2076,0.55,794.0,Grid1296,739.1221248262432,707.0,-32.12212482624318
2077,0.55,794.0,Grid2401,778.9611789867236,707.0,-71.96117898672355
2078,0.55,794.0,Sobol1,679.2764062915185,707.0,27.72359370848153
2079,0.55,794.0,Sobol2,672.2248794108107,707.0,34.77512058918933
2080,0.55,936.0,Grid1296,744.7908660437147,707.0,-37.790866043714686
2081,0.55,936.0,Grid2401,780.1223247843727,707.0,-73.12232478437272
2082,0.55,936.0,Sobol1,684.4848719335264,707.0,22.515128066473608
2083,0.55,936.0,Sobol2,669.1403595272793,707.0,37.859640472720685
2084,0.55,111.0,Grid1296,731.7863902610454,707.0,-24.786390261045426
2085,0.55,111.0,Grid2401,775.2392582482578,707.0,-68.23925824825778
2086,0.55,111.0,Sobol1,683.42911819348,707.0,23.570881806519992
2087,0.55,111.0,Sobol2,663.6771637002215,707.0,43.32283629977849
2088,0.55,816.0,Grid1296,741.0410510727205,707.0,-34.04105107272051
2089,0.55,816.0,Grid2401,776.7766873616146,707.0,-69.77668736161456
2090,0.55,816.0,Sobol1,677.5817306182746,707.0,29.418269381725395
2091,0.55,816.0,Sobol2,669.0133092467139,707.0,37.9866907532861
2092,0.55,968.0,Grid1296,737.8053218810148,707.0,-30.805321881014834
2093,0.55,968.0,Grid2401,774.5393303032588,707.0,-67.5393303032588
2094,0.55,968.0,Sobol1,678.6508915054394,707.0,28.349108494560596
2095,0.55,968.0,Sobol2,654.4673154342925,707.0,52.53268456570754
2096,0.55,48.0,Grid1296,734.9067127855428,707.0,-27.906712785542823
2097,0.55,48.0,Grid2401,779.3386929412515,707.0,-72.33869294125145
2098,0.55,48.0,Sobol1,670.330024879368,707.0,36.66997512063199
2099,0.55,48.0,Sobol2,667.7381876461158,707.0,39.26181235388424
2100,0.55,986.0,Grid1296,738.8484537544653,707.0,-31.848453754465254
2101,0.55,986.0,Grid2401,779.7777601952348,707.0,-72.7777601952348
2102,0.55,986.0,Sobol1,675.6977894464633,707.0,31.302210553536725
2103,0.55,986.0,Sobol2,670.0996263812021,707.0,36.90037361879786
2104,0.55,829.0,Grid1296,744.7935578773316,707.0,-37.79355787733164
2105,0.55,829.0,Grid2401,785.7066798014007,707.0,-78.7066798014007
2106,0.55,829.0,Sobol1,671.8573987831521,707.0,35.14260121684788
2107,0.55,829.0,Sobol2,665.3936341047896,707.0,41.60636589521039
2108,0.55,996.0,Grid1296,731.886860185437,707.0,-24.886860185436944
2109,0.55,996.0,Grid2401,780.3136206557072,707.0,-73.31362065570715
2110,0.55,996.0,Sobol1,682.4938410877102,707.0,24.506158912289834
