,ratio,rndint,dataset,kernel,rmse,mape,r2
1865,0.15,510.0,Grid2401,ESS,706.3795138816682,1.0,-102.36498128652913
1866,0.15,510.0,Grid2401,Matern,36.80427033742956,0.01818728966435005,0.7193961254712976
1867,0.15,510.0,Grid2401,RBF,59.37516378232746,0.046185465054313105,0.26969061697214547
1868,0.15,510.0,Grid2401,RQ,26.930535878358853,0.015921998703815617,0.849759427462832
1869,0.15,530.0,Grid2401,ESS,76.16679737047816,0.06035306551300843,-0.21306939745854003
1870,0.15,530.0,Grid2401,Matern,34.11235984742236,0.01699863794672952,0.7566800124397942
1871,0.15,530.0,Grid2401,RBF,76.16691120622178,0.060353191418888764,-0.21307302346790102
1872,0.15,530.0,Grid2401,RQ,30.6120928655697,0.016968711546308225,0.8040522408984482
1873,0.15,554.0,Grid2401,ESS,89.54888772347553,0.0741462597914867,-0.9166057818825553
1874,0.15,554.0,Grid2401,Matern,33.118385675068346,0.016606326371086992,0.7378494815981711
1875,0.15,554.0,Grid2401,RBF,88.65581169807348,0.07142567751460338,-0.8785675794212946
1876,0.15,554.0,Grid2401,RQ,18.68244388176193,0.013164436650977577,0.9165781580207831
1877,0.15,561.0,Grid2401,ESS,705.3739836462534,1.0,-97.65943759302398
1878,0.15,561.0,Grid2401,Matern,40.025940444518774,0.01890173670326083,0.6823251378843993
1879,0.15,561.0,Grid2401,RBF,81.74320407191954,0.057535097760049,-0.32496093489222555
1880,0.15,561.0,Grid2401,RQ,33.872486556023425,0.01794113606936002,0.7724934427262091
1881,0.15,562.0,Grid2401,ESS,97.80239121012642,0.06816264268285233,-1.0162643444529227
1882,0.15,562.0,Grid2401,Matern,35.15514486351051,0.02102744501351873,0.7394888550874392
1883,0.15,562.0,Grid2401,RBF,703.1064911846435,1.0,-103.2055232510986
1884,0.15,562.0,Grid2401,RQ,26.058229928415873,0.01600585364590919,0.8568674701447409
1885,0.15,582.0,Grid2401,ESS,20.331390740243116,0.019943986711715326,0.9046443133810839
1886,0.15,582.0,Grid2401,Matern,27.602904665964626,0.014835300138031153,0.8242392105064726
1887,0.15,582.0,Grid2401,RBF,79.67999542197532,0.06366328998197357,-0.4645730040877638
1888,0.15,582.0,Grid2401,RQ,16.99930555961206,0.013451504393602884,0.933338545647379
1889,0.15,588.0,Grid2401,ESS,20.011030938167615,0.012388158895846468,0.9108507363733697
1890,0.15,588.0,Grid2401,Matern,32.65542344970315,0.017356877989637493,0.762595212394809
1891,0.15,588.0,Grid2401,RBF,83.3126308305184,0.060941833305567225,-0.5452563286759036
1892,0.15,588.0,Grid2401,RQ,18.61740260606458,0.013364560688651213,0.9228355944993645
1893,0.15,593.0,Grid2401,ESS,96.69692660478086,0.07407684771375647,-0.9651227778721196
1894,0.15,593.0,Grid2401,Matern,39.68303878569636,0.02098967064558634,0.6690410035333523
1895,0.15,593.0,Grid2401,RBF,711.3885144513523,1.0,-105.35993084604962
1896,0.15,593.0,Grid2401,RQ,24.366614743245435,0.015018708340335467,0.8752171956581964
1897,0.15,633.0,Grid2401,ESS,706.768196339247,0.9999443513786708,-100.64673114800495
1898,0.15,633.0,Grid2401,Matern,706.8074309568335,0.9999999999981454,-100.65801683216696
1899,0.15,633.0,Grid2401,RBF,706.8074309581476,1.0,-100.65801683254496
1900,0.15,633.0,Grid2401,RQ,20.076134685327187,0.014261337657431011,0.9179838043059637
1901,0.15,634.0,Grid2401,ESS,92.39487389136792,0.07681095138588957,-0.6227611508594573
1902,0.15,634.0,Grid2401,Matern,31.87653363873741,0.017233787832913128,0.8068471923841026
1903,0.15,634.0,Grid2401,RBF,92.39487508188115,0.07681095251488493,-0.6227611926781982
1904,0.15,634.0,Grid2401,RQ,30.13789887730638,0.016084499672049744,0.827342761412858
1905,0.15,669.0,Grid2401,ESS,702.1853131353467,1.0,-106.42654220017214
1906,0.15,669.0,Grid2401,Matern,31.52189731656822,0.017621212078031346,0.7835125056324346
1907,0.15,669.0,Grid2401,RBF,82.82758352895922,0.0749130777497692,-0.49471397913756276
1908,0.15,669.0,Grid2401,RQ,26.658194001416568,0.015196136343644301,0.8451648488916103
1909,0.15,678.0,Grid2401,ESS,704.3539941183868,1.0,-107.92826484144506
1910,0.15,678.0,Grid2401,Matern,17.886718784854008,0.013977287813079975,0.9297542618536926
1911,0.15,678.0,Grid2401,RBF,82.2936956744695,0.06877914861680791,-0.48693421459154007
1912,0.15,678.0,Grid2401,RQ,15.821629600111349,0.013642059992984894,0.9450381872226209
1913,0.15,711.0,Grid2401,ESS,682.1914782919746,0.9578976593483707,-92.0664973010944
1914,0.15,711.0,Grid2401,Matern,27.852577876539428,0.01529166501654655,0.8448643594539007
1915,0.15,711.0,Grid2401,RBF,711.2469202744744,1.0,-100.16297360330212
1916,0.15,711.0,Grid2401,RQ,21.93009551304676,0.013351945437633307,0.9038250796810458
1917,0.15,721.0,Grid2401,ESS,707.3678469690533,1.0,-97.79651330382838
1918,0.15,721.0,Grid2401,Matern,44.0876454014806,0.021994762241941815,0.6162178272574064
1919,0.15,721.0,Grid2401,RBF,707.3678469690533,1.0,-97.79651330382838
1920,0.15,721.0,Grid2401,RQ,24.202376772508448,0.015695606116075417,0.884344305082516
1921,0.15,725.0,Grid2401,ESS,83.31664834377241,0.07294523488372975,-0.6587602310691099
1922,0.15,725.0,Grid2401,Matern,27.509016686565293,0.016212449837392555,0.8191701315518379
1923,0.15,725.0,Grid2401,RBF,83.75278108387278,0.06773105783104268,-0.6761717120291038
1924,0.15,725.0,Grid2401,RQ,20.172432205542652,0.013567046543110544,0.9027618781170442
1925,0.15,731.0,Grid2401,ESS,24.537553516283314,0.009636526099068395,0.8387719540501046
1926,0.15,731.0,Grid2401,Matern,34.206362824630574,0.017620988544636323,0.6866772953802948
1927,0.15,731.0,Grid2401,RBF,87.88832353041539,0.07544429007837983,-1.0684281119351757
1928,0.15,731.0,Grid2401,RQ,26.422352350500528,0.014258811152947385,0.813051910925079
1929,0.15,759.0,Grid2401,ESS,313.893619544811,0.10809887086655791,-18.903101823750376
1930,0.15,759.0,Grid2401,Matern,708.0342752147308,1.0,-100.26616254432436
1931,0.15,759.0,Grid2401,RBF,708.0342752147308,1.0,-100.26616254432436
1932,0.15,759.0,Grid2401,RQ,25.278183371830682,0.015043905903575978,0.870923402473143
1933,0.15,75.0,Grid2401,ESS,699.6154946285583,1.0,-100.04682775798317
1934,0.15,75.0,Grid2401,Matern,33.175621644496616,0.017852981540210745,0.7727823917747976
1935,0.15,75.0,Grid2401,RBF,699.6154946285583,1.0,-100.04682775798317
1936,0.15,75.0,Grid2401,RQ,32.00333386581832,0.016774403949062367,0.7885565240819203
1937,0.15,78.0,Grid2401,ESS,701.9988207598069,0.9965052952311543,-98.5298231607111
1938,0.15,78.0,Grid2401,Matern,37.332519940329426,0.017331853626224556,0.718515115389991
1939,0.15,78.0,Grid2401,RBF,73.11905816200208,0.05654057613797505,-0.0797958265954275
1940,0.15,78.0,Grid2401,RQ,33.875387561444796,0.019302432517325104,0.7682343805006716
1941,0.15,791.0,Grid2401,ESS,699.2367875967474,1.0,-104.94480563436638
1942,0.15,791.0,Grid2401,Matern,28.314895501260608,0.01565092239094726,0.8262755053504628
1943,0.15,791.0,Grid2401,RBF,90.7288202996124,0.07472978265208492,-0.7836993691367482
1944,0.15,791.0,Grid2401,RQ,21.461294778599655,0.013981672799894384,0.9001971438034433
1945,0.15,794.0,Grid2401,ESS,698.069079427955,1.0,-104.39043835331006
1946,0.15,794.0,Grid2401,Matern,698.069079427955,1.0,-104.39043835331006
1947,0.15,794.0,Grid2401,RBF,698.069079427955,1.0,-104.39043835331006
1948,0.15,794.0,Grid2401,RQ,34.210675409439695,0.017635475711638947,0.7468792757462799
1949,0.15,816.0,Grid2401,ESS,698.1734663904525,1.0,-121.22406382353694
1950,0.15,816.0,Grid2401,Matern,28.638097629384635,0.015552592178324854,0.7943548977409663
1951,0.15,816.0,Grid2401,RBF,92.32116511808633,0.07957376755385615,-1.1371381331468977
1952,0.15,816.0,Grid2401,RQ,21.44320059772472,0.013640435383121237,0.8847053230598894
1953,0.15,829.0,Grid2401,ESS,110.48138707376903,0.08034997265705167,-1.6409625628885753
1954,0.15,829.0,Grid2401,Matern,36.34506410115556,0.017534588961251842,0.7141916669248327
1955,0.15,829.0,Grid2401,RBF,110.48140085734174,0.08034998621060738,-1.640963221857525
1956,0.15,829.0,Grid2401,RQ,22.93546199350448,0.014789450281504817,0.8861851333294387
1957,0.15,854.0,Grid2401,ESS,685.865859851229,0.9795335595401622,-106.7276818249161
1958,0.15,854.0,Grid2401,Matern,29.03243866103322,0.016009667891248497,0.8069739260532645
1959,0.15,854.0,Grid2401,RBF,77.7760377606818,0.06556047907559254,-0.38528959528602
1960,0.15,854.0,Grid2401,RQ,24.561766887121916,0.015039045437100258,0.8618445080766463
1961,0.15,877.0,Grid2401,ESS,90.61526651399888,0.06695935674433182,-0.6999964500783689
1962,0.15,877.0,Grid2401,Matern,34.950716303807766,0.01663674320044063,0.7470949903873382
1963,0.15,877.0,Grid2401,RBF,92.50544548585233,0.06992534000239971,-0.7716579123598184
1964,0.15,877.0,Grid2401,RQ,24.676040417126035,0.015440703476265452,0.8739345100382377
1965,0.15,928.0,Grid2401,ESS,93.30141852087304,0.05991315516177561,-0.9104466101666415
1966,0.15,928.0,Grid2401,Matern,26.18720664809673,0.014944817641357975,0.8494999089632999
1967,0.15,928.0,Grid2401,RBF,93.30153086191503,0.05991322758374515,-0.910451210776053
1968,0.15,928.0,Grid2401,RQ,21.17317212054822,0.012997826542023872,0.9016146878268162
1969,0.15,930.0,Grid2401,ESS,634.8729640708789,0.8747923109940767,-80.89574367509067
1970,0.15,930.0,Grid2401,Matern,35.818124609592054,0.017291220044457017,0.739328620216382
1971,0.15,930.0,Grid2401,RBF,705.4192370910191,1.0,-100.10724168132978
1972,0.15,930.0,Grid2401,RQ,25.74849285439755,0.01538268509164766,0.8652926503463982
1973,0.15,936.0,Grid2401,ESS,86.10682714837337,0.045891660750036804,-0.8771300584891806
1974,0.15,936.0,Grid2401,Matern,34.49623248133867,0.01823380378088649,0.6987253970531344
1975,0.15,936.0,Grid2401,RBF,75.99665206689741,0.06463962640665008,-0.46220448458003216
1976,0.15,936.0,Grid2401,RQ,28.27951088356065,0.015482553674447804,0.7975289299251525
1977,0.15,951.0,Grid2401,ESS,706.7784743098922,1.0,-99.35921205214309
1978,0.15,951.0,Grid2401,Matern,32.445861093153596,0.017008081572002696,0.7885005590624534
1979,0.15,951.0,Grid2401,RBF,97.39521495695675,0.06659729826274796,-0.9057496799383773
1980,0.15,951.0,Grid2401,RQ,20.83371741448255,0.013850244623958223,0.9127984603633483
1981,0.15,968.0,Grid2401,ESS,293.5988289432725,0.09874962236179101,-15.864905745518701
1982,0.15,968.0,Grid2401,Matern,29.22131989958261,0.014600460013714971,0.8329390534423512
1983,0.15,968.0,Grid2401,RBF,82.77916131812628,0.06599591682356394,-0.3406559017487574
1984,0.15,968.0,Grid2401,RQ,22.81513992457613,0.01354534190203796,0.8981592583000185
1985,0.15,985.0,Grid2401,ESS,708.1913550824715,1.0,-106.82624286026075
1986,0.15,985.0,Grid2401,Matern,37.0681012152438,0.017029831184067055,0.7045908716852083
1987,0.15,985.0,Grid2401,RBF,89.00007758108909,0.0659601290981336,-0.70295825122211
1988,0.15,985.0,Grid2401,RQ,25.13383379964757,0.013745129401812876,0.8641871982454282
