,ratio,rndint,dataset,kernel,prediction,std dev.,target,diff
5922,0.4,222.0,Grid1296,RQ,709.5653577465052,0.6645298937359487,707.0,-2.565357746505242
5923,0.4,222.0,Grid1296,ESS,430.01102218361666,0.8768300991842508,707.0,276.98897781638334
5924,0.4,222.0,Grid2401,RBF,0.0,1.0,707.0,707.0
5925,0.4,222.0,Grid2401,Matern,716.3035594243864,0.4696532347384404,707.0,-9.303559424386435
5926,0.4,222.0,Grid2401,RQ,766.2306249746704,0.7037608388394458,707.0,-59.23062497467038
5927,0.4,222.0,Grid2401,ESS,544.074757491545,0.732802726694093,707.0,162.92524250845497
5928,0.4,222.0,Sobol1,RBF,0.0,1.0,707.0,707.0
5929,0.4,222.0,Sobol1,Matern,718.4616491478121,0.14320270259411544,707.0,-11.461649147812068
5930,0.4,222.0,Sobol1,RQ,713.3357065922357,0.38171495530152455,707.0,-6.335706592235738
5931,0.4,222.0,Sobol1,ESS,721.9878902235046,0.0472875828601763,707.0,-14.987890223504564
5932,0.4,222.0,Sobol2,RBF,4.3027941699141825e-114,1.0,707.0,707.0
5933,0.4,222.0,Sobol2,Matern,725.6077837246711,0.18753694259545192,707.0,-18.607783724671094
5934,0.4,222.0,Sobol2,RQ,720.5461245759448,0.4585456716826407,707.0,-13.54612457594476
5935,0.4,222.0,Sobol2,ESS,730.2775867985338,0.05941557531412198,707.0,-23.277586798533775
5936,0.4,582.0,Grid1296,RBF,409.1510255317464,0.8854765100709641,707.0,297.8489744682536
5937,0.4,582.0,Grid1296,Matern,710.2258851359179,0.4159623198882506,707.0,-3.225885135917906
5938,0.4,582.0,Grid1296,RQ,712.0294102317298,0.6657944652199743,707.0,-5.029410231729798
5939,0.4,582.0,Grid1296,ESS,753.521484375,1.944501621229948e-06,707.0,-46.521484375
5940,0.4,582.0,Grid2401,RBF,545.7150154683836,0.790550637516839,707.0,161.28498453161637
5941,0.4,582.0,Grid2401,Matern,725.7191676777732,0.4365619386950543,707.0,-18.719167677773157
5942,0.4,582.0,Grid2401,RQ,762.1265881112248,0.6858796441608978,707.0,-55.126588111224805
5943,0.4,582.0,Grid2401,ESS,776.8349609375,1.5249138090650862e-06,707.0,-69.8349609375
5944,0.4,582.0,Sobol1,RBF,715.4293445363292,0.07046685185776264,707.0,-8.429344536329154
5945,0.4,582.0,Sobol1,Matern,713.1212942700425,0.15991646331463483,707.0,-6.12129427004254
5946,0.4,582.0,Sobol1,RQ,702.0535229651789,0.400779831710629,707.0,4.9464770348211005
5947,0.4,582.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5948,0.4,582.0,Sobol2,RBF,705.0790226971669,0.13948059775944627,707.0,1.92097730283308
5949,0.4,582.0,Sobol2,Matern,706.2692704168544,0.24891832909953288,707.0,0.7307295831456031
5950,0.4,582.0,Sobol2,RQ,688.7097634271461,0.5502382102568523,707.0,18.290236572853928
5951,0.4,582.0,Sobol2,ESS,707.098161022539,0.10289348102808336,707.0,-0.09816102253898862
5952,0.4,588.0,Grid1296,RBF,414.3426264761846,0.8837023071512699,707.0,292.6573735238154
5953,0.4,588.0,Grid1296,Matern,709.6853687425516,0.43071795675393165,707.0,-2.6853687425516455
5954,0.4,588.0,Grid1296,RQ,710.2551849807613,0.6760002950065068,707.0,-3.255184980761328
5955,0.4,588.0,Grid1296,ESS,700.4620666503906,0.0024989820475746355,707.0,6.537933349609375
5956,0.4,588.0,Grid2401,RBF,642.9691416665702,0.5107156046192587,707.0,64.03085833342982
5957,0.4,588.0,Grid2401,Matern,708.4066042030809,0.3398818564035543,707.0,-1.4066042030808603
5958,0.4,588.0,Grid2401,RQ,744.0854269184273,0.6874183567458807,707.0,-37.08542691842729
5959,0.4,588.0,Grid2401,ESS,743.810302734375,0.0004895816013690291,707.0,-36.810302734375
5960,0.4,816.0,Grid1296,RBF,396.39714512319347,0.8946915770008727,707.0,310.60285487680653
5961,0.4,588.0,Sobol1,RBF,711.5465070611826,0.03296294003265034,707.0,-4.546507061182638
5962,0.4,816.0,Grid1296,Matern,715.2264035338999,0.41258922590424824,707.0,-8.226403533899884
5963,0.4,816.0,Grid1296,RQ,715.143219474144,0.6708793902343657,707.0,-8.143219474143962
5964,0.4,588.0,Sobol1,Matern,718.1207978733528,0.11513825154738043,707.0,-11.120797873352785
5965,0.4,816.0,Grid1296,ESS,0.0,1.0,707.0,707.0
5966,0.4,816.0,Grid2401,RBF,601.6869479371379,0.6415307748074607,707.0,105.31305206286208
5967,0.4,588.0,Sobol1,RQ,715.8787707240684,0.3126774256435687,707.0,-8.878770724068431
5968,0.4,816.0,Grid2401,Matern,706.0623313394133,0.39223372845604276,707.0,0.9376686605867235
5969,0.4,588.0,Sobol1,ESS,0.0,1.0,707.0,707.0
5970,0.4,816.0,Grid2401,RQ,749.0543942215946,0.6843751658087863,707.0,-42.054394221594634
5971,0.4,588.0,Sobol2,RBF,707.4791503839397,0.1028605342897182,707.0,-0.47915038393966825
5972,0.4,816.0,Grid2401,ESS,0.0,1.0,707.0,707.0
5973,0.4,588.0,Sobol2,Matern,717.6896083975851,0.22188954489965282,707.0,-10.689608397585062
5974,0.4,816.0,Sobol1,RBF,733.0408354099318,0.08201930693732093,707.0,-26.040835409931788
5975,0.4,588.0,Sobol2,RQ,714.9700005829573,0.5243476900812648,707.0,-7.970000582957255
5976,0.4,816.0,Sobol1,Matern,723.6272244601223,0.19634055450003918,707.0,-16.627224460122306
5977,0.4,588.0,Sobol2,ESS,707.4791632345973,0.10286053332929769,707.0,-0.4791632345973085
5978,0.4,816.0,Sobol1,RQ,715.4467520246999,0.48976799007785776,707.0,-8.44675202469989
5979,0.4,816.0,Sobol1,ESS,2.789775167953275e-68,1.0,707.0,707.0
5980,0.4,816.0,Sobol2,RBF,731.5867931096,0.0688699034694118,707.0,-24.586793109599967
5981,0.4,816.0,Sobol2,Matern,725.124261779696,0.19456883280169654,707.0,-18.124261779695985
5982,0.4,816.0,Sobol2,RQ,715.3727030234498,0.46956776698999914,707.0,-8.372703023449844
5983,0.4,816.0,Sobol2,ESS,731.5867684147047,0.06887063728639088,707.0,-24.586768414704693
5984,0.4,936.0,Grid1296,RBF,430.003707079143,0.8787619628141097,707.0,276.996292920857
5985,0.4,936.0,Grid1296,Matern,718.1953537612723,0.40939733653578486,707.0,-11.195353761272258
5986,0.4,936.0,Grid1296,RQ,713.893600022717,0.6608912876650304,707.0,-6.89360002271701
5987,0.4,936.0,Grid1296,ESS,444.0796978432152,0.8713583092877617,707.0,262.9203021567848
5988,0.4,936.0,Grid2401,RBF,637.3786889019236,0.5938733687544792,707.0,69.62131109807638
5989,0.4,936.0,Grid2401,Matern,705.8649228815968,0.3959447658247014,707.0,1.13507711840316
