,ratio,rndint,dataset,#trees,rmse,mape,r2
6333,0.3,171.0,Grid2401,1000.0,81.81597950823947,0.08431680236051212,0.3709288345162587
6334,0.3,171.0,Sobol1,1000.0,21.46291643654195,0.01776156510915986,0.9486024476574227
6335,0.3,171.0,Sobol2,1000.0,19.10220515088281,0.015976750723673085,0.9585241439561898
6336,0.3,75.0,Grid1296,10.0,38.78386836990764,0.04205022340844773,0.8515668847583575
6337,0.3,75.0,Grid2401,10.0,81.53908801894461,0.08394377547375419,0.37269959145716036
6338,0.3,75.0,Sobol1,10.0,21.554060263763507,0.0182273407321015,0.9481529912204273
6339,0.3,75.0,Sobol2,10.0,18.815501370468553,0.01641647591918691,0.9590986702859289
6340,0.3,75.0,Grid1296,100.0,38.92643212716354,0.042211004340307855,0.8504736428416524
6341,0.3,75.0,Grid2401,100.0,81.35938307031321,0.08373533454965969,0.3754615739139924
6342,0.3,75.0,Sobol1,100.0,21.397027729335324,0.017911500366694956,0.9489057040692215
6343,0.3,75.0,Sobol2,100.0,18.123054244739635,0.015451530974280304,0.9620537715184745
6344,0.3,75.0,Grid1296,250.0,39.019665604979984,0.04228145019707457,0.8497565179185737
6345,0.3,75.0,Grid2401,250.0,81.27333014371392,0.0836527133875362,0.37678201011767676
6346,0.3,75.0,Sobol1,250.0,21.254643963232933,0.017815941351321068,0.9495834424077423
6347,0.3,75.0,Sobol2,250.0,17.993809010757825,0.015442658574290018,0.9625930714915824
6348,0.3,75.0,Grid1296,500.0,39.00326519697693,0.04226627817837744,0.8498827894553863
6349,0.3,75.0,Grid2401,500.0,81.29675024285491,0.0836939034874455,0.376422779602962
6350,0.3,75.0,Sobol1,500.0,21.20514090955453,0.01775943023474268,0.9498180139371243
6351,0.3,75.0,Sobol2,500.0,17.848126420177454,0.01532999553317023,0.9631963320689312
6352,0.3,75.0,Grid1296,750.0,39.075424478586626,0.04232138020654529,0.8493268170059379
6353,0.3,75.0,Grid2401,750.0,81.3301221227572,0.08372780036947809,0.37591072431829364
6354,0.3,75.0,Sobol1,750.0,21.19698253722537,0.017725959057993998,0.9498566201008134
6355,0.3,75.0,Sobol2,750.0,17.845960932463505,0.015300354908421038,0.9632052622002
6356,0.3,75.0,Grid1296,1000.0,39.08215504626196,0.042328056721292306,0.8492749069674921
6357,0.3,75.0,Grid2401,1000.0,81.3416821973187,0.08373555533269918,0.37573329851100223
6358,0.3,75.0,Sobol1,1000.0,21.20918866597358,0.017729658218231845,0.9497988540698221
6359,0.3,75.0,Sobol2,1000.0,17.85538960589898,0.01528390516927764,0.9631663719196597
