,ratio,rndint,dataset,kernel,time [hrs],rmse,r2
9234,0.6,222.0,Grid1296,RQ,0.0012126596106423271,54.62556421065568,0.7008419527144669
9235,0.6,222.0,Grid1296,ESS,0.00019519064161512586,189.0986030771104,-2.584969453991086
9236,0.6,222.0,Grid2401,RBF,0.00024421592553456624,676.5206505942972,-43.97052099214418
9237,0.6,222.0,Grid2401,Matern,0.0005315168036354913,35.8328368821408,0.8738381094143137
9238,0.6,222.0,Grid2401,RQ,0.003266400959756639,84.28799005606537,0.30193285406646553
9239,0.6,222.0,Grid2401,ESS,0.0009265036053127712,359.12361444322175,-11.67224994113079
9240,0.6,222.0,Sobol1,RBF,0.00029388964176177976,680.7049924946026,-49.40331542799577
9241,0.6,222.0,Sobol1,Matern,0.0005594284666909112,22.03098441100345,0.9472030251634316
9242,0.6,222.0,Sobol1,RQ,0.004607136713133918,24.200066482923535,0.9362948781336996
9243,0.6,222.0,Sobol1,ESS,0.0006760707828733656,26.93499474403641,0.9210821903566193
9244,0.6,222.0,Sobol2,RBF,0.0001728792323006524,680.7616907290602,-50.12055335101565
9245,0.6,222.0,Sobol2,Matern,0.0002778255939483643,22.37137667545013,0.9447934318943592
9246,0.6,222.0,Sobol2,RQ,0.0026375826199849448,24.885175682672944,0.931689612031794
9247,0.6,222.0,Sobol2,ESS,0.00045073701275719536,26.373312304060306,0.9232753908235621
9248,0.6,294.0,Grid1296,RBF,0.00010333001613616943,178.14461934878182,-2.1831238449134456
9249,0.6,294.0,Grid1296,Matern,0.00016407469908396403,55.23152150477678,0.6940276857571652
9250,0.6,294.0,Grid1296,RQ,0.0011775953239864772,58.27332075527726,0.6593976408365546
9251,0.6,294.0,Grid1296,ESS,0.000140709744559394,174.27899324046885,-2.0464790914553466
9252,0.6,294.0,Grid2401,RBF,0.00038740668031904434,390.72266394923923,-14.04916513093341
9253,0.6,294.0,Grid2401,Matern,0.0004923466841379802,35.48419005185181,0.8758790776123235
9254,0.6,294.0,Grid2401,RQ,0.003840937481986152,83.36490732583833,0.3149192816020693
9255,0.6,294.0,Grid2401,ESS,0.00045231223106384277,652.2634569179561,-40.93931151561137
9256,0.6,294.0,Sobol1,RBF,0.00043827374776204427,27.510755970127796,0.9187136503537789
9257,0.6,294.0,Sobol1,Matern,0.0005784810913933648,22.374067149346192,0.946234653854945
9258,0.6,294.0,Sobol1,RQ,0.00519037577841017,25.586804291076106,0.9296855366596357
9259,0.6,294.0,Sobol1,ESS,0.0013301786449220446,27.509940638849063,0.9187184684199475
9260,0.6,294.0,Sobol2,RBF,0.0002629335059059991,31.574097321575366,0.8918450970852516
9261,0.6,294.0,Sobol2,Matern,0.00026825361781650117,23.123591141955753,0.941991065441574
9262,0.6,294.0,Sobol2,RQ,0.002943982614411248,25.892199553757994,0.9272685549606104
9263,0.6,294.0,Sobol2,ESS,0.0019159344832102457,32.11737977793901,0.8880911225071461
9264,0.6,633.0,Grid1296,RBF,6.392425960964627e-05,679.5784801964322,-45.48895489878534
9265,0.6,633.0,Grid1296,Matern,8.429454432593452e-05,679.5783573355554,-45.48893808932651
9266,0.6,633.0,Grid1296,RQ,0.0013385297854741414,56.92094421635513,0.6738519857935654
9267,0.6,633.0,Grid1296,ESS,7.490171326531304e-05,634.8343560199261,-39.568728016837035
9268,0.6,633.0,Grid2401,RBF,0.00020234154330359564,676.153669503616,-44.11114811547482
9269,0.6,633.0,Grid2401,Matern,0.0002612671587202284,676.153473218158,-44.111121924206515
9270,0.6,633.0,Grid2401,RQ,0.004145822922388713,83.15585200347019,0.317694775012178
9271,0.6,633.0,Grid2401,ESS,0.00018919044070773655,611.5987101993604,-35.90848199343367
9272,0.6,633.0,Sobol1,RBF,0.0002546618382136027,681.3816316659623,-49.603485942426396
9273,0.6,633.0,Sobol1,Matern,0.0003271480401357015,681.3720878908617,-49.60206839641551
9274,0.6,633.0,Sobol1,RQ,0.005064709981282552,24.532576858848486,0.9344027054883653
9275,0.6,633.0,Sobol1,ESS,0.0002724267376793755,676.4542668565766,-48.87426086479939
9276,0.6,633.0,Sobol2,RBF,0.00015514373779296876,680.7283168804229,-48.66261896152985
9277,0.6,633.0,Sobol2,Matern,0.00026740928490956624,22.694026125530634,0.9448043202843197
